index_number,region_number,port_name,country,port_latitude,port_longitude,publication_number,chart_number,harbor_size,harbor_type,shelter_afforded,entry_tide,entry_swell,entry_ice,entry_other,overhead_limit,channel_depth,anchorage_depth,cargo_pier_depth,cargo_oil_depth,tide_range,max_vessel_size,good_holding_ground,turning_area,port_of_entry,us_representative,eta_message_required,pilot_required,pilot_available,pilot_local_assist,pilot_advised,tug_salvage,tug_assist,quarantine_procedures_required,quarantine_sscc_cert_required,quarantine_other,comms_phone,comms_fax,comms_radio,comms_vhf,comms_air,comms_rail,cargo_wharf,cargo_anchor,cargo_med_moor,cargo_beach_moor,cargo_ice_moor,med_facility,garbage_dispose,degauss,dirty_ballast,crane_fixed,crane_mobile,crane_float,lift_100_tons,lift_50_100_tons,lift_25_49_tons,lift_0_24_tons,services_longshore,services_electrical,services_steam,services_nav_equip,services_electrical_repair,provisions,water,fuel_oil,diesel,deck_supplies,eng_supplies,repair_types,dry_dock_types,railway_types,port_geom
50922,50920,MERAK MAS TERMINAL,ID,-5.916667,105.983333,150,,M,CN,F,,,,,,J,A,J,J,0,M,,,,,,,TRUE,,,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,POINT(105.983333333333 -5.91666666666667)
47855,47840,DORALEH,DJ,11.6,43.083333,172,,S,CN,,,,,,,,,E,D,0,L,,,,,TRUE,TRUE,,,,,,,,,TRUE,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(43.0833333333333 11.6)
8822,8650,SOUTHWEST PASS,US,28.45,-90.7,CP05,,S,RN,N,FALSE,FALSE,FALSE,TRUE,,,,,J,0,M,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,POINT(-90.7 28.45)
2200,1930,PORT DE BECANCOUR,CA,46.4,-72.383333,SCOR,,V,RN,E,FALSE,FALSE,TRUE,FALSE,FALSE,K,K,K,,0,M,TRUE,,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-72.3833333333333 46.4)
62635,62530,PORT BERINGOVSKY,RU,63.066667,179.366667,155,,,,,,,,,,,E,O,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(179.366666666667 63.0666666666667)
61245,61100,ISHIKARI BAY NEW PORT,JP,43.216667,141.283333,159,,M,CB,F,,,,TRUE,,K,,G,M,0,L,,,TRUE,,,FALSE,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,POINT(141.283333333333 43.2166666666667)
62740,62530,MYS NOVYY PORT,RU,67.666667,72.9,183,804,V,RN,F,,,TRUE,,,M,N,N,,2,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,POINT(72.9 67.6666666666667)
2310,2270,OKA SUR LE LAC,CA,45.466667,-74.083333,SCOR,1510,V,RN,E,,,TRUE,,,P,P,P,,0,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-74.0833333333333 45.4666666666667)
2340,2270,ST ANDREWS EAST,CA,45.566667,-74.333333,SCOR,1510,V,RN,E,,,TRUE,,,P,P,P,,0,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-74.3333333333333 45.5666666666667)
2300,2270,VAUDREUIL,CA,45.4,-74.033333,SCOR,1510,V,RN,E,,,TRUE,,,P,P,P,,0,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-74.0333333333333 45.4)
